Instance,NoLocalOpt,OnlyFinal,OnlySwap
p01,53.64,-1.04,26.00
p02,40.89,-0.36,32.11
p03,17.85,-5.78,18.94
p04,16.53,6.43,3.41
p05,15.19,3.90,10.63
p06,49.35,-0.94,29.71
p07,13.34,12.83,18.43
p08,-0.37,-7.63,2.83
p09,26.67,9.65,20.12
p10,24.85,2.16,14.27
p11,8.17,-3.88,11.42
p12,6.46,2.62,0.00
p13,18.69,-2.83,2.72
p14,10.05,-2.82,1.37
p15,11.93,0.55,2.10
p16,12.35,3.00,0.00
p17,4.14,-2.92,0.00
p18,14.81,4.55,6.32
p19,10.99,1.82,2.74
p20,8.00,1.16,2.14
p21,7.84,-3.96,0.00
p22,13.13,4.34,0.84
p23,11.48,0.82,0.16
