Instance,Full,NoLocalOpt,NoSwap,NoFinal
p01,191.03,225.72,202.96,201.60
p02,188.60,209.39,187.17,198.02
p03,185.82,200.64,188.63,198.01
p04,694.96,807.71,700.95,694.96
p05,624.33,695.79,629.61,642.77
p06,416.25,492.31,417.09,456.81
p07,314.41,359.30,313.57,339.09
p08,3186.02,3288.45,3051.63,3256.46
p09,1964.49,2099.99,1932.21,2031.19
p10,1500.38,1636.23,1463.63,1658.74
p11,1031.09,1209.73,1060.37,1080.39
p12,1273.77,1356.09,1307.11,1273.77
p13,1226.63,1455.87,1191.96,1259.97
p14,1284.73,1413.87,1248.53,1302.34
p15,1295.23,1434.72,1303.76,1295.23
p16,1289.29,1436.36,1328.00,1289.29
p17,1273.39,1375.55,1282.38,1283.38
p18,1211.56,1369.81,1243.53,1280.85
p19,1248.93,1384.13,1263.35,1281.68
p20,1234.12,1389.60,1256.25,1267.53
p21,1231.23,1354.91,1261.89,1278.10
p22,1230.99,1379.49,1250.49,1265.17
p23,1222.63,1363.52,1233.67,1250.29
